Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48900 	95.26500 	250 									9.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.52100 	95.27100 	254 									9.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.60500 	95.38900 	260 									9.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.60700 	95.39600 	260 									9.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61400 	95.39900 	261 									9.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59600 	95.37300 	259 									9.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55900 	95.30900 	257 									9.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48700 	95.26900 	250 									9.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55300 	95.30400 	256 									9.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59700 	95.38500 	259 									9.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53200 	95.27400 	255 									9.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57800 	95.34400 	258 									9.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57800 	95.34300 	258 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54700 	95.30100 	256 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56000 	95.31700 	257 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49700 	95.26200 	251 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49700 	95.26200 	251 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32500 	258 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59400 	95.37100 	259 									9.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54100 	95.30500 	255 									9.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57600 	95.34500 	258 									9.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48100 	95.24400 	250 									9.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61100 	95.39100 	260 									9.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61400 	95.39800 	261 									9.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50100 	95.24600 	252 									10.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61400 	95.39800 	261 									10.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.58800 	95.35800 	259 									10.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59000 	95.38900 	258 									10.00 		5 	
